DATETIME,PRESSURE_T1,PRESSURE_T2,PRESSURE_T3,PRESSURE_T4,PRESSURE_T5,PRESSURE_T6,PRESSURE_T7,PRESSURE_J280,PRESSURE_J269,PRESSURE_J300,PRESSURE_J256,PRESSURE_J289,PRESSURE_J415,PRESSURE_J302,PRESSURE_J306,PRESSURE_J307,PRESSURE_J317,PRESSURE_J14,PRESSURE_J422,FLOW_PU1,FLOW_PU2,FLOW_PU3,FLOW_PU4,FLOW_PU5,FLOW_PU6,FLOW_PU7,FLOW_PU8,FLOW_PU9,FLOW_PU10,FLOW_PU11,FLOW_V2,STATUS_PU1,STATUS_PU2,STATUS_PU3,STATUS_PU4,STATUS_PU5,STATUS_PU6,STATUS_PU7,STATUS_PU8,STATUS_PU9,STATUS_PU10,STATUS_PU11,STATUS_V2,ATT_FLAG
908.25,3.7389,4.3926,3.6715,4.2359,4.5,5.5,4.7879,2.9631,36.2844,29.7611,70.2205,29.7198,86.0093,29.5892,96.0381,29.5892,69.0522,32.4179,31.3766,93.8187,79.8777,0.0,0.0,0.0,0.0,50.5334,26.8461,0.0,30.8243,0.0,77.0641,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0
908.5,3.7717,4.4631,3.5662,4.3221,4.5,5.5,4.4565,2.9631,36.3007,29.8235,70.1152,29.7822,86.0433,29.6187,96.075,29.6187,69.0628,32.4321,31.438000000000002,93.7879,79.8405,0.0,0.0,0.0,0.0,50.5477,26.8461,0.0,30.8322,0.0,76.8751,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0
908.75,3.8042,4.5329,3.4609,4.408,4.5,5.5,4.1279,2.9631,35.6099,29.8855,70.0099,29.8442,86.0772,30.2114,96.1119,30.2114,69.0736,32.3903,31.4991,95.0854,79.8033,0.0,0.0,0.0,0.0,50.5618,26.8461,0.0,30.84,0.0,76.6883,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0
909.0,3.8194,4.6023,3.3556,4.4377,4.5,5.5,3.7152,2.9622,35.6169,29.7731,68.9964,29.7312,85.301,30.2249,95.652,30.2249,68.2914,32.3882,31.3627,95.0723,80.926,0.0,0.0,0.0,0.0,50.8938,26.7642,0.0,30.9051,0.0,71.9173,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0
909.25,3.8344,4.658,3.2424,4.4672,4.5,5.5,3.3055,2.9622,35.6238,29.8204,68.8832,29.7785,85.2823,30.2383,95.6674,30.2383,68.2614,32.3865,31.409000000000002,95.0592,80.9053,0.0,0.0,0.0,0.0,50.9267,26.7642,0.0,30.9186,0.0,71.6916,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0
909.5,3.8492,4.7132,3.1292,4.4967,4.5,5.5,2.8985,2.9622,35.6308,29.8673,68.77,29.8253,85.2636,30.2516,95.6829,30.2516,68.2316,32.3851,31.4549,95.0462,80.8845,0.0,0.0,0.0,0.0,50.9592,26.7642,0.0,30.932,0.0,71.4694,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0
909.75,3.8635,4.7676,3.016,4.5204,4.5,5.5,2.5012,2.9622,35.6644,29.9137,68.6568,29.8717,85.2451,24.7488,95.6985,24.6288,68.2022,33.4936,31.5004,94.9832,80.8638,0.0,0.0,0.0,0.0,50.9914,26.7642,0.0,30.9454,0.0,71.2511,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0
910.0,3.8505,4.8213,2.9028,4.1917,4.5,5.5,2.5411,2.963,35.8516,29.0864,86.6263,29.1659,85.0267,24.8113,96.4333,24.6913,67.4259,35.0998,31.1752,94.6322,79.9282,0.0,37.5525,0.0,0.0,50.7485,26.5521,0.0,31.3117,0.0,78.827,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0
910.25,3.8518,4.7961,3.0075,3.863,4.5,5.5,2.5811,2.963,35.8651,29.0672,86.6894,29.1464,84.9894,24.819000000000003,96.4519,24.699,67.3543,35.1964,31.1571,94.6068,79.9146,0.0,37.5082,0.0,0.0,50.7574,26.5521,0.0,31.3381,0.0,79.1237,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0
910.5,3.8539999999999996,4.7719,3.1119,3.5343,4.5,5.5,2.6212,2.963,35.8794,29.0486,86.7525,29.1275,84.9524,24.8279,96.4704,24.7079,67.2831,35.2924,31.1396,94.58,79.90100000000001,0.0,37.4642,0.0,0.0,50.7665,26.5521,0.0,31.3642,0.0,79.414,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0
