DATETIME,PRESSURE_T1,PRESSURE_T2,PRESSURE_T3,PRESSURE_T4,PRESSURE_T5,PRESSURE_T6,PRESSURE_T7,PRESSURE_J280,PRESSURE_J269,PRESSURE_J300,PRESSURE_J256,PRESSURE_J289,PRESSURE_J415,PRESSURE_J302,PRESSURE_J306,PRESSURE_J307,PRESSURE_J317,PRESSURE_J14,PRESSURE_J422,FLOW_PU1,FLOW_PU2,FLOW_PU3,FLOW_PU4,FLOW_PU5,FLOW_PU6,FLOW_PU7,FLOW_PU8,FLOW_PU9,FLOW_PU10,FLOW_PU11,FLOW_V2,STATUS_PU1,STATUS_PU2,STATUS_PU3,STATUS_PU4,STATUS_PU5,STATUS_PU6,STATUS_PU7,STATUS_PU8,STATUS_PU9,STATUS_PU10,STATUS_PU11,STATUS_V2,ATT_FLAG
908.5,1.2061,2.8697,3.5662,3.9643,4.5,5.5,3.5242,2.9631,43.4928,22.7379,85.9099,22.8029,83.6055,21.9008,96.075,21.7887,69.0628,38.7784,24.4993,79.8262,79.8405,79.8262,34.3677,0.0,0.0,48.1737,26.8461,0.0,30.8322,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1
908.75,1.2429999999999999,2.6508,3.4609,3.9887,4.5,5.5,3.5282,2.9631,43.5114,22.541,85.9065,22.6054,83.5452,21.9376,96.1119,21.8255,69.0736,38.5132,24.2998,79.789,79.8033,79.789,34.2524,0.0,0.0,48.0992,26.8461,0.0,30.84,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1
909.0,1.2801,2.4323,3.3556,4.0131,4.5,5.5,3.5324,2.9622,42.9468,22.4184,86.6415,22.4804,83.9891,21.3736,95.652,21.261,68.2914,38.284,24.1656,80.9114,80.926,80.9115,33.7347,0.0,0.0,47.7875,26.7642,0.0,30.9051,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1
909.25,1.2963,2.2159999999999997,3.2424,3.9741,4.5,5.5,3.4913,2.9622,42.9573,22.2255,86.6395,22.287,83.9558,21.3889,95.6674,21.2762,68.2614,38.2537,23.97,80.8907,80.9053,80.8908,33.6183,0.0,0.0,47.6993,26.7642,0.0,30.9186,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1
909.5,1.3126,2.0002,3.1292,3.9353,4.5,5.5,3.4505,2.9622,42.9677,22.0331,86.6373,22.0941,83.9221,21.4043,95.6829,21.2916,68.2316,38.2235,23.7748,80.87,80.8845,80.87,33.5019,0.0,0.0,47.6113,26.7642,0.0,30.932,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1
909.75,1.3291,1.7849,3.016,3.8968,4.5,5.5,3.41,2.9622,42.9782,21.8411,86.6349,21.9017,83.8879,21.4199,95.6985,21.3071,68.2022,38.1933,23.5802,80.8492,80.8638,80.8492,33.3854,0.0,0.0,47.5235,26.7642,0.0,30.9454,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1
910.0,1.3458,1.5702,2.9028,3.8586,4.5,5.5,3.3698,2.963,43.4487,21.5931,85.8114,21.6557,83.7681,21.8858,96.4333,21.7705,67.4259,38.3487,23.337,79.9139,79.9282,79.914,33.7377,0.0,0.0,47.4534,26.5521,0.0,31.3117,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1
910.25,1.3781,1.3548,3.0075,3.8159,4.5,5.5,3.2774,2.963,43.4556,21.4006,85.8073,21.4627,83.7291,21.9043,96.4519,21.7888,67.3543,38.3272,23.1418,79.9003,79.9146,79.9004,33.6229,0.0,0.0,47.3675,26.5521,0.0,31.3381,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1
910.5,1.41,1.1398,3.1119,3.7732,4.5,5.5,3.1857,2.963,43.4624,21.2086,85.8029,21.2701,83.6897,21.9227,96.4704,21.807,67.2831,38.3057,22.947,79.8867,79.90100000000002,79.8868,33.5079,0.0,0.0,47.2819,26.5521,0.0,31.3642,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1
910.75,1.4414,0.9254,3.2161,3.7306,4.5,5.5,3.0945,2.9631,43.4692,21.017,85.7984,21.078000000000003,83.6498,21.9409,96.4887,21.825,67.2123,38.2843,22.7527,79.8732,79.8875,79.8732,33.393,0.0,0.0,47.1966,26.5521,0.0,31.3901,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1
911.0,1.4725,0.7116,3.32,3.6881,4.5,5.5,3.0039,2.963,43.4483,20.9244,86.4022,20.9841,84.7014,21.7822,94.7415,21.6701,68.9466,38.332,22.6468,79.9148,79.9291,79.9148,32.9609,0.0,0.0,46.5462,27.7829,0.0,30.8315,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1
911.25,1.5017,0.5007,3.4436,3.7679,4.5,5.5,3.0291,2.963,43.4553,20.7386,86.3996,20.7978,84.7057,21.8056,94.765,21.6936,68.9714,38.3222,22.4581,79.9008,79.9151,79.9008,32.8462,0.0,0.0,46.4367,27.7829,0.0,30.8311,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1
911.5,1.5305,0.2903,3.5668,3.8473,4.5,5.5,3.0542,2.963,43.4624,24.853,87.9242,24.9185,85.9458,21.8289,94.7883,21.7168,68.9962,27.8611,26.9611,79.8867,79.90100000000002,79.8867,34.4277,0.0,0.0,48.0514,27.7829,0.0,30.8306,0.0,94.7569,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1
911.75,1.5591,0.3229,3.6898,3.9264,4.5,5.5,3.0793,2.9631,43.4695,24.8744,88.0003,24.9397,86.0191,21.851999999999997,94.8114,21.74,69.0209,27.8771,26.9771,79.8726,79.8869,79.8727,34.3951,0.0,0.0,48.023,27.7829,0.0,30.8302,0.0,94.0877,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1
912.0,1.5873,0.3535,3.8125,4.0053,4.5,5.5,3.1045,2.9631,43.4699,24.9277,89.2059,24.9886,85.2659,22.1089,96.2049,21.998,69.8366,27.9277,27.0277,79.8718,79.8861,79.8718,33.7012,0.0,0.0,48.4579,26.9071,0.0,30.6625,0.0,94.6458,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1
912.25,1.6158,0.3866,3.9344,3.9956,4.5,5.5,3.1712,2.9631,43.477,24.9493,89.2864,25.01,85.306,22.1341,96.2301,22.0233,69.8939,27.9441,27.0441,79.8577,79.8719,79.8577,33.6653,0.0,0.0,48.4478,26.9071,0.0,30.6528,0.0,93.9869,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1
912.5,1.6440000000000001,0.4181,4.0559,3.9858,4.5,5.5,3.2378,2.9631,43.4841,24.9698,89.3664,25.0304,85.3457,22.1592,96.2551,22.0484,69.9511,27.9596,27.0596,79.8435,79.8578,79.8436,33.629,0.0,0.0,48.4374,26.9071,0.0,30.6431,0.0,93.3327,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1
912.75,1.6719,0.44799999999999995,4.1771,3.9760000000000004,4.5,5.5,3.3041,2.9631,43.4912,24.9894,89.4459,25.0497,85.3852,22.1841,96.28,22.0734,70.008,27.9741,27.0741,79.8294,79.8437,79.8294,33.5923,0.0,0.0,48.4266,26.9071,0.0,30.6335,0.0,92.6834,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1
913.0,1.6994,0.4763,4.298,3.9662,4.5,5.5,3.3702,2.964,44.0197,24.9413,88.0148,25.0057,84.7318,24.5154,107.089,24.4053,72.6597,27.9243,27.0243,78.7738,78.7878,78.7738,34.4263,0.0,0.0,48.7532,18.9138,0.0,30.5366,0.0,89.8679,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1
913.25,1.7498,0.5122,4.4353,4.0801,4.5,5.5,3.5438,2.964,44.0353,26.2609,71.5777,26.2215,85.0366,24.5634,107.137,24.4536,72.801,28.8096,27.9096,78.7425,78.7565,78.7425,0.0,0.0,0.0,49.2351,18.9138,0.0,30.5083,0.0,84.1888,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1
913.5,1.7998,0.605,4.5722,4.1937,4.5,5.5,3.7167,2.964,44.051,26.3103,71.4702,26.2709,85.0505,24.6114,107.1849,24.5017,72.9419,28.8538,27.9538,78.7111,78.7251,78.7111,0.0,0.0,0.0,49.2537,18.9138,0.0,30.4801,0.0,83.3181,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1
913.75,1.8495,0.6954,4.7089,4.3069999999999995,4.5,5.5,3.8889,2.9641,44.0667,26.3584,71.3627,26.319000000000003,85.0642,24.6593,107.2326,24.5498,73.0823,28.8968,27.9968,78.6796,78.6936,78.6796,0.0,0.0,0.0,49.2718,18.9138,0.0,30.451999999999998,0.0,82.4515,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1
914.0,1.899,0.7834,4.8453,4.42,4.5,5.5,4.0606,2.9645,44.3139,26.448,71.7789,26.4091,85.7933,25.6974,110.9006,25.5899,75.1007,28.9821,28.0821,78.1839,78.1978,78.184,0.0,0.0,0.0,48.9349,15.4615,0.0,30.1517,0.0,82.0994,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1
914.25,1.9608,0.8714,4.9824,4.3903,4.5,5.5,4.3031,2.9649,44.5527,26.4966,71.6761,26.4577,85.8439,26.0012,111.2044,25.8936,75.3601,29.0256,28.1256,77.704,77.7177,77.704,0.0,0.0,0.0,48.9339,15.4615,0.0,30.1654,0.0,81.251,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1
914.5,2.0278,0.9572,5.122000000000001,4.1055,4.5,5.5,4.5457,2.965,44.5863,26.544,71.5733,26.5051,85.8941,26.0788,111.2819,25.9715,75.5572,29.068,28.168000000000003,77.6363,77.65,77.6363,0.0,0.0,0.0,48.9324,15.4615,0.0,30.1286,0.0,80.4068,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1
914.75,2.0949,1.0407,5.2614,3.8207,4.5,5.5,4.7874,2.965,44.6199,26.5903,71.4705,26.5514,85.944,26.1565,111.3594,26.0493,75.7536,29.1093,28.2093,77.5686,77.5823,77.5687,0.0,0.0,0.0,48.9304,15.4615,0.0,30.0919,0.0,79.5666,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1
